slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
table,,"Hola, soy Allie Gumas, empleada civil de la Oficina de Reciclaje y Sostenibilidad (BRS) del Departamento de Sanidad. En la BRS, trabajamos por toda la ciudad para ayudar a los residentes a reducir, reutilizar y reciclar.",,,,,,
apartment,,"Los residuos electrónicos, como los teléfonos móviles, las computadoras portátiles y los televisores, se recogen en los edificios de apartamentos inscritos en el programa de reciclaje de dispositivos electrónicos del Departamento de Sanidad de la Ciudad de Nueva York (DSNY). El DSNY trabaja con una empresa llamada ERI, que se encarga de recoger y transportar los residuos electrónicos.",ERI,"ERI es una empresa que opera numerosas instalaciones de tratamiento de residuos electrónicos certificadas en todo el país. Se dedican a reutilizar, reciclar, resignificar, reparar o desechar equipos de informática no deseados de forma segura y responsable con el medioambiente.",,,,
event,,"Si su edificio de apartamentos no tiene un programa de reciclaje de dispositivos electrónicos, puede llevar los residuos electrónicos a un sitio de entrega de desechos especiales del DSNY o a un evento de desechos SAFE. ",,Los sitios de entrega de desechos especiales son lugares donde los residentes de Nueva York pueden entregar determinados productos nocivos. Los sitios están abiertos de 10 a. m. a 5 p. m. todos los sábados y el último viernes de cada mes.,,"Cada primavera y otoño, el DSNY organiza eventos de eliminación segura de desechos solventes, automotores, inflamables y electrónicos (SAFE) en los cinco condados.",,
eri,,"Luego de la recolección, los residuos electrónicos se trasladan a las instalaciones de procesamiento de ERI en Lincoln Park, Nueva Jersey. ",,,,,,
sorting-ewaste,,"Una vez que llegan a ERI Lincoln Park, todos los equipos electrónicos se separan por tipo y se pesan.",,,,,,
inspect,,"Luego de pesarlos y registrarlos, un empleado de ERI califica el estado del producto para identificar los equipos que pueden ser reacondicionados y revendidos. ",,,,,,
laptop,,"Todos los materiales reutilizables se evalúan, reacondicionan y prueban. Luego, se pueden vender en el mercado de reutilizables y, de este modo, se les puede dar otra utilidad. Antes de revender los dispositivos electrónicos, se vacían los datos de aquellos que contengan información personal, como las computadoras portátiles y los teléfonos móviles.",,,,,,
smartphone,,Se separan los materiales no reutilizables. ,,"Las baterías se separan cuidadosamente para evitar incendios. Y se envían a los procesadores, donde se extraen los materiales necesarios para las baterías de los vehículos eléctricos y para los sistemas de almacenamiento de energías renovables.",,,,
ernie,,"Los televisores de pantalla plana y las pantallas de las computadoras portátiles se envían al sistema de trituración de ERI, también conocido como ERNIE (Electronic Recyclers Next Innovation Efficiency). El procesador ERNIE tritura los artículos y almacena el mercurio y otros materiales tóxicos en un contenedor hermético.",,,,,,
sam,,"El sistema robotizado de ERI, SAM (Super Automated Machine), también clasifica los materiales en función del tipo de materia prima, incluidas las placas de circuitos, que contienen metales preciosos, como cobre, acero y aluminio.",,"Los metales preciosos y el cobre se envían a hornos de fundición donde se recuperan oro, plata, paladio y cobre para utilizarlos en la fabricación de dispositivos nuevos.",,El aluminio y el acero se envían a otros hornos de fundición donde se reciclan y se usan para productos nuevos.,,
end-ewaste,,Todos estos materiales terminan formando parte de los productos que se venden hoy en día en el mercado.,,,,,,
