slug,label,tooltip
aluminum-foil,Papel de aluminio,Plantéese almacenar la comida en envases reusables en vez de papel de aluminio.
broken-glass,Vidrio roto,"Échelos en bolsa doble, protéjase usted y al empleado de saneamiento de cualquier herida."
cardboard,Caja de cartón,Aplane las cajas de cartón de manera que se puedan atar o meter con facilidad en una bolsa. ¡No olvide los artículos pequeños como las cajas de pasta y las de jabón!
chip-bag,Bolsa de chips,"Este tipo de bolsa suele estar hecha de diferentes capas de materiales, por lo que son difíciles de reciclar."
detergent-bottle,Detergente para lavar ropa,"No tenga en cuenta el número de la botella, pues la ciudad trata todo plástico rígido de la misma manera."
food-can,Lata de comida,Están hechas de acero o de hojalata y no de aluminio.
glass-bottles,Botella de vidrio,"El vidrio es pesado y aumenta el peso de los envíos, por lo que los diseñadores de productos utilizan otras opciones para el envasado de alimentos."
glass-jar,Tarro de salsa en vidrio,"Plantéese reusar los frascos de vidrio para meriendas, artesanías y artículos pequeños."
milk-carton,Cartón de leche,Los cartones son los artículos que más se se colocan mal porque contienen capas tanto de papel como de plástico.
newspaper,Periódico,¿Aún recibe las noticias a la antigua? Digitalícese ya y ¡reduzca la basura!
plastic-bag,Bolsa de plástico,"En 2020, el estado de Nueva York prohibió en los comercios la mayoría de las bolsas de plástico de un solo uso."
plastic-bottle,Botella de agua,Cada minuto se venden casi un millón de bebidas en botellas de plástico en el mundo. ¡Cámbielas por las reusables!
soda-can,Lata de refresco,Una lata de aluminio usada se recicla y vuelve a la estantería del supermercado en sólo 60 días.
toothpaste,Pasta de dientes,No todos los artículos de baño son reciclables: ¡Conózcalos antes de botarlos!
banana,Cáscara de banana,"Las bananas son una excelente fuente de calcio, magnesio, azufre, fosfatos, potasio y sodio. ¡El compostaje de cáscaras de banana agrega esos nutrientes a la tierra!"
soiled-paper,Papel con restos de alimentos,"¡La comida no es lo único que puede ir en el contenedor de compost marrón! Las servilletas, los platos y las toallas de papel sucias son parte del “material marrón"" seco y rico en carbono que sirve para hacer un compost saludable."
smartphone,Teléfono inteligente,"Los teléfonos móviles y las computadoras portátiles pueden reciclarse. Pero, antes de revenderlos, se elimina toda la información y los datos personales."
vacuum,Aspiradora,"Done o venda las aspiradoras si están en buen estado. De lo contrario, retire las pilas y recicle junto con metales, vidrios, plásticos y cartones."
tv,Televisor,"Algunos dispositivos electrónicos, como los televisores de pantalla plana, contienen mercurio y otros materiales tóxicos."
