slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
garage-metal,Garaje,"Hola, soy Julian, empleado de saneamiento de El Bronx. Comenzamos nuestro turno al marcar la entrada en nuestro taller local y luego salimos a recoger la basura o los materiales reciclables de su casa.",,Muchos de nuestros talleres son incineradores. Los del Bronx 9/10/11 en la avenida Zerega fueron incineradores que funcionaron alguna vez.,,"Nuestro logotipo no siempre ha tenido el aspecto que tiene hoy en día. No fue hasta 1929 que nos convertimos en el Departamento de Saneamiento que conocemos hoy, y que nuestro logotipo pasó a ser el caduceo más actual: un bastón alado con dos serpientes envueltas a su alrededor que representa la buena salud.",,
curbside-metal,Recolección en aceras,"Sus artículos de metal, vidrio, plástico (MVP) y cartón reciclables los recogen mis compañeros de saneamiento y los vierten en un camión de basura del Departamento de Saneamiento de la Ciudad de Nueva York (New York City Department of Sanitation, DSNY).",Departamento de Saneamiento de la Ciudad de Nueva York,"El Departamento de Saneamiento de la Ciudad de Nueva York (NYC Department of Sanitation) mejor conocido como el DSNY, es el departamento de saneamiento más grande del mundo. ¡Hemos mantenido a Nueva York sana, segura y limpia desde 1881!",,,,
tipping-barge-metal,Estación marina de transferencia,"Al terminar la ruta de recogido, los empleados de saneamiento se dirigen a Sims Hunts Point donde se colocan los materiales reciclables en una barcaza.",Sims,"Sims es una empresa que opera numerosas instalaciones de reciclaje en toda la ciudad. Procesa el 100 % del metal, vidrio y plástico recolectado por DSNY en sus instalaciones; la más reciente se inauguró en Sunset Park, Brooklyn.",,,,
barge-metal,Barcaza,"Un remolcador guía la barcaza hasta el Centro de Recuperación de Material de Sims Sunset Park (Sims Sunset Park Material Recovery Facility, MRF).",Instalación de recuperación de materiales,"La instalación de recuperación de materiales (Materials Recovery Facility, MRF) es un lugar que procesa material reciclable para venderlo como materia prima.",,,,
sims,Instalación de recuperación de materiales,"Al atracar la barcaza en el Centro de Recuperación de Material de los Sims en Sunset Park, en Brooklyn, un operario dirige una garra de grúa gigante, recoge los materiales reciclables MVP de la barcaza y los deposita en el suelo del vertedero.",,,,,,
tipping-floor-metal,Piso de vertido,"Además de la barcaza que transporta los reciclables, llega un camión de basura de DSNY que también descarga pilas enormes de reciclaje de la ciudad en la zona de vertido.",zona de vertido,La zona de vertido es una habitación gigante donde los materiales reciclables se descargan en pilas enormes.,,,,
sorting,Clasificación,"Un cargador frontal empuja el reciclaje de la zona de vertido al sistema de clasificación. Como alternativa, una grúa gigante que llaman excavadora recoge los materiales reciclables y los deposita en el sistema de clasificación, o según el equipo a disposición.",cargador frontal,Los cargadores frontales son vehículos grandes con una pala en la parte delantera para levantar y cargar material suelto.,,,,
liberator,Triturador Liberator,"A continuación, los reciclables entran en el sistema de clasificación y pasan primero por una trituradora de baja velocidad que abre las bolsas de reciclaje y se le conoce como Liberator.",,,,,,
magnets,Imanes,"Los reciclables pasan por debajo de un gran imán giratorio que recoge metales férricos o materiales magnéticos. Luego, una corriente en remolino (un imán invertido) repele cualquier metal que no sea férrico, como el aluminio.",metales ferrosos,"Los metales ferrosos contienen hierro y son magnéticos, como el acero inoxidable o el hierro fundido. Los metales no ferrosos no contienen hierro y no son magnéticos. Los metales no ferrosos más comunes son el aluminio, el cobre y el estaño.",,,,
trommel,Criba de tambor,"Los metales férricos y materiales magnéticos atraviesan un tambor tamizador. Al girar el tambor, los artículos más pequeños, como las latas, caen por agujeros y se transportan a su propia empacadora. Esta máquina comprime los materiales en fardos cuadrados. A diferencia de los artículos metálicos más pequeños, los voluminosos no se embalan, sino que se montan en una barcaza que va a una instalación de chatarra.",,El tambor tamizador es como una lavadora cilíndrica gigante con agujeros de ocho pulgadas.,,,,
quality-metal,Control de calidad,"En la etapa de control de calidad se da una mirada final a los artículos clasificados. El equipo de control de calidad no separa los residuos, sino que limpia lo que ya está clasificado o elimina cualquier rastro de basura de entre los materiales reciclables.",,,,,,
bales-metal,Fardos,"Los materiales ya están separados. Pilas de fardos rectangulares de metal no férrico triturado salen de las instalaciones en camiones, mientras una garra de grúa gigante coloca los fardos de metales magnéticos en vagones de ferrocarril.",,,,,,
barge-rail-metal,Producto terminado,"Por último, los vagones con metales magnéticos y férricos flotan a lo largo de Upper Bay, partiendo de la zona cercana a la planta de tratamiento de aguas residuales Owl's Head Wastewater para encontrarse con una línea de ferrocarril en Nueva Jersey que los lleva a una planta de tratamiento.",,,,,,
end-metal,¡Reciclado!,"La lata de aluminio que arrojó en el cubo de reciclaje se puede convertir en otra lata, papel de aluminio, o incluso en piezas de coche. Qué chévere, ¿verdad?",,,,,,
