slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
garage-paper,Garaje,"Hola, soy Tom, empleado de saneamiento de Manhattan. Comenzamos nuestro turno al marcar la entrada en nuestro taller local y luego salimos a recoger la basura o los materiales reciclables de su casa.",,"Nuestro taller de la calle Spring en el oeste del bajo Manhattan cuenta con la certificación LEED GOLD por sus características de diseño sostenible, tales como un techo con vegetación, el uso de materiales reciclados, el recogido de agua de lluvia, la eficiencia energética e hídrica, y materiales de poca toxicidad.",,"Nuestro logotipo no siempre ha sido como el de hoy. No fue sino hasta 1929 que nos convertimos en el Departamento de Saneamiento que se conoce en la actualidad, y nuestro logo se convirtió en el caduceo más reciente: un bastón con alas y dos serpientes entrelazadas alrededor, en representación de la buena salud.",,
curbside-paper,Recolección en aceras,"Al salir del taller de la calle Spring en Manhattan, nuestros empleados de saneamiento recogen de la acera su reciclaje de cartón y papel y lo arrojan en un camión de basura de DSNY.",,"Para asegurarse de que su material de reciclaje se recoja, recuerde que el papel y el cartón deberán colocarse en una bolsa transparente. El cartón corrugado deberá aplanarse y atarse con un cordel resistente en paquetes de 18 pulgadas de alto o más pequeños.",DSNY,"El Departamento de Saneamiento de la Ciudad de Nueva York (NYC Department of Sanitation) mejor conocido como el DSNY, es el departamento de saneamiento más grande del mundo. ¡Hemos mantenido a Nueva York sana, segura y limpia desde 1881!",,
mts,Estación marina de transferencia,"Al terminar la ruta de recogido, nuestros empleados de saneamiento se dirigen a la estación de traslado de la calle 59 en Manhattan.",,"Cuando se renovó en 1990 nuestra estación de transferencia, ubicada en 59th Street Manhattan, el artista Stephen Antonakos colocó una instalación de luces de colores. La obra de arte, conocida como “Neón para la estación marina de transferencia de la calle 59”, fue encargada por el programa Porcentaje de Arte del Departamento de Asuntos Culturales de la Ciudad.",,,,
weighing,Pesar,"El camión de basura se pesa antes de entrar y así determinar el tonelaje de la carga. También se analiza en busca de radiación. Si da positivo, se retira para asegurar la protección de los empleados de saneamiento.",,"Cuando hablamos de seguridad, servicio y sostenibilidad, ¡lo decimos en serio! El DSNY emplea combustible biodiésel de aceite de soja para alimentar nuestra flota desde el 2005. ¡Nos enorgullece tener la flota más limpia de los Estados Unidos!",,,,
tipping-paper,Piso de vertido,Luego se le indica que arroje la carga de papel y cartón sobre una barcaza.,,"Nuestros operadores observan todos los movimientos de entrada y salida de nuestra estación marina de transferencia desde una oficina llamada “la pecera”. La información importante, como el peso de los camiones y el identificador único del camión (similar al sistema E-ZPass), se envían a una computadora en la pecera.",,"Cada uno de nuestros camiones recolectores puede cargar 12,5 toneladas de desechos; ¡esto es aproximadamente seis veces el peso de una jirafa! Cuando nuestra flota completa de 2.100 camiones está en funcionamiento, recolectamos un promedio de 12.000 toneladas de basura y reciclaje por día.",,
barge-paper,Barcaza,"Un remolcador guía la barcaza, repleta del papel y cartón reciclable de la ciudad, desde la Bahía Superior por de Kill Van Kill, pasando por Arthur Kill Narrows hasta la fábrica de papel Pratt Paper Mill en Staten Island.",,,,,,
pratt,Molino de papel,"Al llegar la barcaza a la fábrica de papel Pratt Industries Mill, un operario dirige una garra de grúa gigante que recoge el reciclaje de papel.",,,,,,
pulper,Despulpadora,"Ya en la fábrica de papel Pratt Paper Mill, el reciclado de papel y cartón se vierte primero en un pozo y luego se alimenta en una despulpadora, donde se mezcla con agua para conseguir pulpa, la cual pasa a través de mallas que eliminan los contaminantes.",despulpadora,La despulpadora es una gran tina llena de agua con un agitador tipo licuadora que rompe el cartón y el papel en pequeños trozos hasta convertirlo en pulpa. ¡La pulpa parece papilla espesa o arroz con leche!,,,,
press,Prensa,"Luego se prensa y, tras secarse, se envuelve en un gran rollo de papel reciclado.",,,,,,
winder,Rebobinador,"Estos enormes rollos de papel reciclado, que pesan 25 toneladas cada uno, se transportan hasta la ""bobinadora"" por un sistema mecanizado que opera un obrero.",,,,,,
storage,Almacén,"Allí, el papel reciclado se corta en rollos más pequeños, que luego transportan un conductor de montacargas a la zona de almacenamiento.",,,,,,
corrugator,Corrugadora,"El papel reciclado está listo para ser distribuido a una corrugadora, donde los rollos de papel se convierten en hojas de cartón que luego se cortan y se doblan en cajas.",,,,,,
quality-paper,Control de calidad,"Los obreros examinan los paquetes de cajas de cartón en la línea de montaje a efectos de control de calidad, y si están satisfechos con la calidad, el cartón reciclado se distribuye para su uso por toda la ciudad de Nueva York.",,,,,,
end-paper,¡Reciclado!,"Las pizzerías de la ciudad son uno de los destinatarios principales del cartón reciclado. La próxima vez que estés a punto de degustar una sabrosa pizza, recuerda que esa caja pudo haber sido reciclada con el papel de Nueva York.",,,,,,
