slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
table,Outreach,"大家好，我是卫生局回收与可持续发展处 (Bureau of Recycling and Sustainability, BRS) 的文员 Allie Gumas。BRS 致力于帮助全市居民减少物资用量以及重复使用和循环回收各种废弃物。",,,,,,
apartment,Apartment Pickup,"纽约市卫生局 (New York City Department of Sanitation, DSNY) 的电子废弃物回收计划旨在从参与计划的公寓大楼中收集各种电子废弃物，如手机、笔记本电脑和电视。DSNY 委托一家名为 ERI 的公司负责收集和运输这些电子废弃物。 ",,ERI 在全国各地运营着大量经过认证的电子废弃物回收设施。他们致力于以安全和环保的方式重复使用、循环回收、改造、维修或处置废弃的 IT 设备。,,,,
event,Drop-off Event,如果你居住的公寓大楼没有电子废弃物回收计划，则可以将电子废弃物送往 DSNY 的特殊废弃物投放点或安全处置活动地点。 ,,特殊废弃物投放点是指供纽约市居民处置某些有害产品的地点。这些地点的开放时间为每周六以及每月最后一个周五的上午 10 点至下午 5 点。,,"每年春季和秋季，DSNY 都会在五大行政区举办安全处置活动，帮助人们处置各种溶剂、汽车、易燃物和电子设备。
",,
eri,ERI,收集的各种电子废弃物将被送往 ERI 位于新泽西州林肯公园的回收设施。 ,,,,,,
sorting-ewaste,Sorting,送达 ERI 林肯公园后，所有电子设备都将按类型进行分捡并称重。 ,,,,,,
inspect,Inspecting,称重和登记之后，ERI 员工将对产品的物理外观进行评估，从而确定可以翻新和转售的设备。 ,,,,,,
laptop,Testing Laptops,他们会评估、翻新和测试任何可以重新利用的材料，然后在二手市场上出售，让这些材料获得第二次生命。对于所有包含个人信息的电子设备，如笔记本电脑和手机，转售前都将清除其中的数据。,,,,,,
smartphone,Smartphone,对于所有无法重新利用的材料，,,他们会将其拆解并小心地分离出电池，以防引发火灾。这些材料随后将被送往处理设施，从中提取出可用于制造电动汽车和可再生能源储存系统蓄电池的有用材料。,,,,
ernie,Shredding Material,"平板电视和笔记本电脑屏幕将通过 ERI 的粉碎系统“下一代创新和高效的电子装置回收系统” (Electronic Recyclers Next Innovation Efficiency, ERNIE) 进行处理。ERNIE 能够粉碎这些材料，并将其中的汞和其他有毒物质提取和存放在密闭容器中。 ",,,,,,
sam,Robotic Sorting,"ERI 的机器人系统“超级自动化机器” (Super Automated Machine, SAM) 能够根据商品类型对材料进行深度分类，包括含贵金属（如铜、钢和铝）的电路板。 ",,这些贵金属和铜将被送往冶炼厂提取金、银、钯和铜，随后用于制造新设备。,,铝和钢将被送往其他冶炼厂加以回收利用，制成新的产品。,,
end-ewaste,Recycled!,所有这些材料最终都会变成市场上的待售产品。,,,,,,
