slug,label,tooltip
aluminum-foil,铝箔,考虑使用可以重复使用的容器代替铝箔来存储食物。
broken-glass,碎玻璃,用双层袋子装碎玻璃，以帮助防止您和环卫工人受伤。
cardboard,纸板盒,压平纸板盒使其容易绑好或放进袋子里—不要忘记意面盒和肥皂盒这样的小东西！
chip-bag,片袋,这种类型的零食袋通常是由不同材料层制成的，因此很难回收。
detergent-bottle,洗涤剂,忽略瓶子上的数字吧 — 纽约市对待所有硬质塑料的方式都是一样的。
food-can,食品罐,这些是用钢或锡制成的，不是铝。
glass-bottles,玻璃瓶,玻璃较重，会增加运输重量，因此产品设计师正使用其他方案包装食品。
glass-jar,莎莎玻璃罐,考虑重复使用玻璃罐存放零食、工艺品和小物件。
milk-carton,牛奶盒,牛奶盒是最常见的放错位置的物品，因为他们包含纸和塑料层。
newspaper,报纸,还在通过传统的方式获取新闻吗？采用数字方式减少垃圾吧！
plastic-bag,塑料袋,2020 年，纽约州禁止零售商使用大多数的一次性塑料打包袋。
plastic-bottle,水瓶,全世界每分钟几乎售出一万个塑料饮料瓶 — 换成可回收的吧！
soda-can,易拉罐,用过的铝罐可以回收，仅仅 60 天内就可以回到货架上。
toothpaste,牙膏,并非所有浴室用品都能回收 — 在扔掉之前要进行了解！
banana,香蕉皮,香蕉富含钙、镁、硫、磷酸盐、钾和钠。堆肥香蕉皮可将这些健康养分添加到土壤中！
soiled-paper,食物弄脏的纸,食物不是唯一可以放进棕色堆肥箱的东西！脏的餐巾纸、盘子和纸巾也属于制造健康堆肥所需的富含碳的干燥“棕色”材料。
smartphone,智能手机,手机和笔记本电脑都可以回收利用，但转售之前应删除其中所有的个人信息和数据。
vacuum,真空吸尘器,将可以正常使用的真空吸尘器捐赠或转售给其他人。如不能正常使用，请在拆除电池后，将其与金属、玻璃、塑料和纸盒一起回收。
tv,电视,平板电视等电子产品含有汞和其他有毒物质。
plastic-film,Film plastics,
