slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
garage-paper,车库,大家好，我是来自 Manhattan 的环卫工人 Tom。我们在我们当地的车库打卡上班，然后出发去收集你们的生活垃圾或可回收物。,,我们的 Manhattan Spring Street 车库位于 Manhattan 下城西部，因其可持续性设计特色（如绿植屋顶、使用回收材料、收集雨水、能源和水资源利用率高以及材料毒性低）而获得能源与环境设计先锋 (LEED) 黄金级认证。,,我们的标志并不总是像今天这样。直到1929年，我们才发展成为我们今天所知道的环卫局，我们的标志也成为了最新的代表图案：一根长着翅膀的棍子，上面缠着两条蛇，象征着健康。,,
curbside-paper,路边拾音器,离开我们的 Manhattan Spring Street 车库后，我们的环卫工人从人行道上捡起你们的纸板和废纸，然后扔进 DSNY 垃圾收集车中。,,为了确保回收物品的回收，请记住，纸张和纸板必须放在一个干净的袋子里。瓦楞纸板必须压平，并用结实的麻绳捆成18英寸或更小的一捆。,DSNY,纽约市环卫局（NYC Department of Sanitation，DSNY）是世界上最大的环卫部门。自1881年以来，我们一直保持纽约的健康、安全和清洁！,,
mts,海上转运站,当我们的环卫工人结束各自的路线时，他们前往 Manhattan 第 59 大街的转运站。,,我们的标志并非始终是现在这样。直到 1929 年我们才成为今天大家所熟知的卫生局，我们的标志也变成了最流行的双蛇杖：一根顶端带有翅膀、上面缠绕着两条蛇的权杖，寓意是健康。,,,,
weighing,称重,在进入之前，会对垃圾收集车进行称重，这样我们可以确定装载物的吨位。也会进行辐射扫描。如果检测结果为阳性，则收集车会被转移走以确保保护我们的环卫工人。,,当我们说到安全、服务和可持续性时，我们是认真的！自 2005 年起，DSNY 便使用从豆油中提取的生物柴油燃料作为车队的燃料 — DSNY 拥有美国最清洁的车队！,,,,
tipping-paper,小费湾,然后，他们会接到信号，把纸张和纸板垃圾直接卸载到驳船上。,,我们的运营商在一个名为Fishbowl的办公室里能看到进出海上中转站的所有活动。重要信息，如卡车重量和唯一卡车标识符（类似于E-ZPass系统）会被发送到Fishbowl的一台计算机上。,,我们的每辆收集车可以储存12.5吨垃圾，大约是长颈鹿重量的6倍！当我们2100辆卡车的车队全部投入运营时，我们平均每天收集12000吨垃圾并进行回收。,,
barge-paper,驳船,这艘驳船装满了纽约市的可回收纸张和纸板，由一艘拖船引导，从 Upper Bay 出发，经由 Kill Van Kill 到达 Arthur Kull Narrows，再到 Staten Island 的 Pratt 造纸厂。,,,,,,
pratt,造纸厂,当驳船到达 Pratt 工业造纸厂后，操作员操纵一个巨大的起重机抓斗，把可回收纸张从驳船上铲出。,,,,,,
pulper,碎纸机,到达 Pratt 造纸厂后，可回收的纸张和纸板首先被倾倒进一个坑中，然后送入碎浆机。在碎浆机中，纸张与水混合形成纸浆。纸浆通过筛网以移除污染物。,制浆机,碎浆机是一个装满水的大桶和一个搅拌器，它将纸板和纸张打碎成小块，最终成为纸浆纤维。纸浆会看起来像浓粥，或米饭布丁！,,,,
press,新闻,然后，纸浆被压缩，最终干燥，形成大卷的再生纸。,,,,,,
winder,绕线机,这些大卷的再生纸每卷重 25 吨，通过由工厂工人控制的机械化系统运送到“卷纸机”。,,,,,,
storage,存储,在那里，再生纸被切割成小卷，然后由叉车司机运输到存储区域。,,,,,,
corrugator,瓦楞机,这种再生纸已经准备就绪可以分配至瓦楞机。瓦楞机将纸卷制成纸板，然后切割，再折叠成纸板箱。,,,,,,
quality-paper,质量控制,工厂工人在装配线上检查纸板箱的包装，以进行质量控制，如果满足标准，那么回收纸板就会被分发到纽约市各地使用。,,,,,,
end-paper,披萨盒,回收纸板的一个大型接受者便是我们市的披萨店。下次当你们想吃美味的披萨时，请记得披萨盒可能是使用纽约回收的纸张做成的。,,,,,,
